,Best_Resolution,Core_Speed,Manufacturer,Memory,Memory_Bandwidth,Name,Release_Date,Release_Year,Release_Month,Release
0,,738 MHz,Nvidia,1024,64.0,GeForce GTS 150,2009-03-01,2009,3,2009.25
1,1366 x 768,"
- ",AMD,512,106.0,Radeon HD 2900 XT 512MB,2007-05-14,2007,5,2007.4166666666667
2,1366 x 768,"
- ",AMD,512,51.2,Radeon HD 2900 Pro,2007-12-07,2007,12,2008.0
3,1024 x 768,"
- ",AMD,256,36.8,Radeon HD 2600 XT Diamond Edition,2007-07-01,2007,7,2007.5833333333333
4,1024 x 768,"
- ",AMD,256,22.4,Radeon HD 2600 XT,2007-06-28,2007,6,2007.5
5,1024 x 768,"
- ",AMD,256,35.2,Radeon HD 2600 XT 256MB GDDR4,2007-06-26,2007,6,2007.5
6,1920 x 1080,870 MHz,AMD,2048,134.4,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,2009-07-13,2009,7,2009.5833333333333
7,1024 x 768,"
- ",AMD,256,51.2,Radeon HD 2900 GT,2007-11-06,2007,11,2007.9166666666667
8,1920 x 1080,"
- ",AMD,2048,160.0,FirePro D300,2014-01-18,2014,1,2014.0833333333333
9,,"
- ",AMD,64,2.9,Radeon 7000 64mb,2001-01-02,2001,1,2001.0833333333333
10,,"
- ",Nvidia,128,5.2,Quadro4 980 XGL,2002-11-01,2002,11,2002.9166666666667
11,1920 x 1080,650 MHz,Nvidia,6144,177.6,Tesla M2090,2011-07-25,2011,7,2011.5833333333333
12,,705 MHz,Nvidia,5120,168.0,Tesla K20,2012-11-01,2012,11,2012.9166666666667
13,2560 x 1600,706 MHz,Nvidia,12288,288.4,Tesla K40c,2013-11-12,2013,11,2013.9166666666667
14,,"
- ",AMD,64,5.8,All-in-Wonder Radeon 7500,2002-01-22,2002,1,2002.0833333333333
15,1600 x 900,1050 MHz,AMD,3072,57.6,Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,2015-05-28,2015,5,2015.4166666666667
16,,"
- ",Nvidia,8192,320.0,Tesla K10,2012-05-15,2012,5,2012.4166666666667
17,,732 MHz,Nvidia,6144,249.6,Tesla K20X,2012-11-12,2012,11,2012.9166666666667
18,1366 x 768,300 MHz,Intel,0,34.1,Iris i3 6167U,2015-09-01,2015,9,2015.75
19,1024 x 768,"
- ",AMD,256,23.4,Radeon 9800 XT,2003-10-01,2003,10,2003.8333333333333
20,,575 MHz,Nvidia,6144,144.0,Tesla C2070,2010-09-01,2010,9,2010.75
21,,575 MHz,Nvidia,6144,144.0,Tesla C2075,2011-07-01,2011,7,2011.5833333333333
22,,"
- ",Nvidia,128,3.6,Quadro4 750 XGL,2002-02-19,2002,2,2002.1666666666667
23,,"
- ",Nvidia,128,5.2,Quadro4 900 XGL,2002-11-01,2002,11,2002.9166666666667
24,1366 x 768,300 MHz,Intel,0,34.1,Iris i5 6360U,2015-09-01,2015,9,2015.75
25,,"
- ",Nvidia,128,4.4,Quadro4 780 XGL,2002-11-01,2002,11,2002.9166666666667
